#x y
2382 531 73
2381 530 71
2372 521 73
2371 520 73
2370 519 73
2369 518 73
2368 518 73
2368 517 71
2367 517 71
2366 515 73
2365 514 73
2364 514 73
2364 513 73
2364 512 73
2363 513 73
2363 512 76
2363 511 73
2362 512 73
2362 511 74
2362 510 72
2361 511 71
2361 510 73
2360 509 73
2359 508 71
2330 479 71
2329 478 71
2328 477 71
2327 476 71
2327 475 71
2326 476 71
2326 475 74
2326 474 71
2325 475 71
2325 474 74
2325 473 71
2324 474 71
2324 473 74
2324 472 71
2323 473 71
2323 472 74
2323 471 71
2322 472 71
2322 471 74
2322 470 71
2321 471 71
2321 470 72
2320 471 71
2320 470 72
2320 469 71
2319 469 71
2319 468 71
2319 467 73
2318 468 71
2318 467 74
2318 466 71
2317 467 71
2317 466 73
2316 465 73
2315 464 73
2314 463 71
2313 463 71
2285 434 71
